Name,Type,Address,Distance(Meters),Latitude,Longitude,Distance(Miles)
La Tour Cafe,french,"900 Nimitz Highway, Honolulu, HI 96817, United States of America",1799,21.3160414,-157.8741535,1.1178495532330024
Bakery & Table,contemporary,"938 Piikoi Street, Honolulu, HI 96814, United States of America",1810,21.29974,-157.844429,1.1246846533361503
Young's Lunchwagon,N/A,"938 Piikoi Street, Honolulu, HI 96814, United States of America",1810,21.29974,-157.844429,1.1246846533361503
Nobu,sushi,"1118 Auahi Street, Honolulu, HI 96814, United States of America",1830,21.2938402,-157.853924,1.1371121080691464
Tanaka Saimin,N/A,"1118 Auahi Street, Honolulu, HI 96814, United States of America",1830,21.2938402,-157.853924,1.1371121080691464
Zippy's,hawaiian;japanese;chinese;american,"1222 South King Street, Honolulu, HI 96814, United States of America",1875,21.299906,-157.84332984276756,1.1650738812183876
Golden Duck,chinese,"1221 South King Street, Honolulu, HI 96814, United States of America",1886,21.29945115,-157.84357279866379,1.1719089813215355
Merriman’s Honolulu,N/A,"1221 South King Street, Honolulu, HI 96814, United States of America",1886,21.29945115,-157.84357279866379,1.1719089813215355
Asian Mix,chinese,"1234 South Beretania Street, Honolulu, HI 96814, United States of America",1907,21.3013944,-157.8421193,1.1849578087911816
Kaka'ako Kitchen,N/A,"1234 South Beretania Street, Honolulu, HI 96814, United States of America",1907,21.3013944,-157.8421193,1.1849578087911816
Piggy Smalls,vietnamese,"1200 Ala Moana Boulevard, Honolulu, HI 96814, United States of America",1936,21.2931582,-157.8527023,1.202977618154026
Sakura Terrace,japanese,"1240 South King Street, Honolulu, HI 96814, United States of America",1943,21.299632000000003,-157.84281570089297,1.2073272273105746
Maile's Thai,thai,"1200 Ala Moana Boulevard, Honolulu, HI 96841, United States of America",1949,21.2930304,-157.8527186,1.2110554637304733
Kua 'Aina Burger,burger,"1200 Ala Moana Boulevard, Honolulu, HI 96814, United States of America",1953,21.2930186,-157.852648,1.2135409546770726
The Original Pancake House,breakfast;pancake,"1121 Kapiolani Boulevard, Honolulu, HI 96814, United States of America",1967,21.295129,-157.8475713,1.22224017299017
Stage,N/A,"1121 Kapiolani Boulevard, Honolulu, HI 96814, United States of America",1967,21.295129,-157.8475713,1.22224017299017
Nalu Health Bar & Cafe,N/A,"1121 Kapiolani Boulevard, Honolulu, HI 96814, United States of America",1967,21.295129,-157.8475713,1.22224017299017
Ginza Sushi,sushi,"1200 Ala Moana Boulevard, Honolulu, HI 96841, United States of America",1996,21.2928312,-157.8519111,1.2402599823530143
Kyung's Seafood,N/A,"1200 Ala Moana Boulevard, Honolulu, HI 96841, United States of America",1996,21.2928312,-157.8519111,1.2402599823530143
